Item,Category,Brand,Model,ASSESSMENT,"Repair status","Spare parts",Event,Group,Date,"Waste prevented","CO2 emissions prevented",POWERED
Laptop,"Laptop medium",Dell,"Inspiron 5767","Windows error. Virus. Powers on. Startup gives Dell screen then goes to support assist screen to do hardware check. No hardware problems. No bootable devices found. Could be corrupt OS image or boot device not enabled in BIOS setup. Turned off secure boot option but no difference. Either broken HDD or no OS. Booted from Linux USB - formatted HDD. Installed Windows from USB. Client set up his account.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,1.83,132.66,Powered
Headphones,Headphones,Beats,,"Connector cable has different plug barrel lengths for phone end & (head)phones end. Using lead the other way around fixed it.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,0.4,1.5,Powered
"Toy power station control centre",Toy,"Power Station",,"Doesn't power on. Temporary repair to battery box.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,0.93,5.2,Powered
"Coffe machine","Coffee maker","John Lewis",,"Coffee not coming out of filter. Bunged up, needed good clean. Seams to work now.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,1.28,8.75,Powered
"Mobile phone",Mobile,Huawei,,"Needs new screen.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
Laptop,"Laptop medium",Apple,Mac,"Software reinstall failed. SSD broken/disconnected. Needs external drive to test.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Digital DVD player","TV and gaming-related accessories",,,"Digital video player doesn't connect properly. Possibly wrong adapter. Adapter also bad wires, dangerous.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Electric razor","Hair & beauty item",Braun,,"It's dead (mains powered). Switch slightly worn out.",End-of-life,"No spare parts required","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
Lamp,Lamp,,,"Doesn't turn on. Fuse?",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,2.68,7.48,Powered
Lamp,Lamp,,,"Doesn't turn on. Fuse?",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,2.68,7.48,Powered
Laptop,"Laptop medium",Lenovo,Ideapad,"Computer keys not working. Tried switch cleaner from keyboard. Need to remove screws from bottom and remove top. Order replacement keyboard.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Lava lamp",Lamp,,,"Needs replacement bulb to be fitted. Changed bulb. Customer happy!",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,2.68,7.48,Powered
"Lava lamp",Lamp,,,"Needs replacement bulb to be fitted. Changed bulb. Customer happy! (Customer brought 2 of these lamps in)",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,2.68,7.48,Powered
"Alarm clock lamp",Watch/clock,Lumie,,"Button broken. Small component broken off. Needs replacement as unable to solder here.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
Lamp,Lamp,,,"The bulb holder is borken. Used Sugru to create a mold that will hold pin in place.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,2.68,7.48,Powered
Lamp,Lamp,Ikea,,"Does not turn on. We think bulb has blown. Tested for continuity - none. Recommend buys new bulb (12v) and tries again.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
Vacuum,Vacuum,Beko,,"Isn't picking up dirt properly. Internal filter inaccessible! Partial clean.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Electric scooter",Toy,Segway,,"Not charging. Either broken charger or loose electrical connection where the charging wire connects. Charger is fine (tested with voltmeter). Batter & charger is discrete unit on device - failed to disassemble this unit but whole unit easily replaceable if spare can be found.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Radio clock","Portable radio",,,"Start up adjustment. Fixed with re-pushing the connectors and loudspeaker.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,2.06,27.325,Powered
"Plastic fire engine",Toy,,,"We can't figure out how to replace the battery or whether the toy still works.",End-of-life,"No spare parts required","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
Trousers,Clothing/textile,,,"Hole in seam mended.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,0.75,10.16,Unpowered
Jumpsuit,Clothing/textile,,,Mended,Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,0.75,10.16,Unpowered
"Child's buggy",Misc,,,"Back wheels need fixing. Recommend trip to hardware shop to replace hairgrip with a proper cotter pin!!",Repairable,,"We Are 336","Repair Café Lambeth",2023-11-04,0,0,Unpowered
Hat,Clothing/textile,,,"Hole mended.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,0.75,10.16,Unpowered
"Vaccum cleaner",Vacuum,Miele,,"Does not turn on. Light appears briefly. Suspect might be switch and have brought new with. But think would break if I try myself! There is connection everywhere. Live to motor, independent of reel rotation.",Repairable,,"We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
Blender,"Small kitchen item",,,"Leaks through central spinning blade gearing. Client reported having replaced rubber washer. Blade assembly loose, hence leaks. Unable to tighten to eliminate leak. Replacement base costs £86.",End-of-life,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
"Battery powered clock",Watch/clock,Kienzle,,"No power. We used a multi-meter to check for continuity throughout the circuitry. We identified the continuity problem, but figured it would be easier/faster to replace the whole mechanism. We suggested to buy a new mechanism for replacement.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
"Electric toothbrush","Hair & beauty item",Philips,,"Stopped charging suddenly. Charged it with the phone reverse wireless charge. Still wasn't working. Opened it and took the core with all the electronics out. Saw on a YouTube video that two parts that shouldn't be making contact might do. We inserted a piece of plastic between them and it was okay.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,0.67,5.14,Powered
"Portable Bluetooth speaker","Handheld entertainment device",JBL,"Mk 10",,Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,0.14,11.355,Powered
Dehumidifier,Aircon/dehumidifier,"Pro Breeze",,"Doesn't spin fan. Faulty fan. Spares available. Client will fix.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
Radio/tuner,"Hi-Fi separates",Quad,,"Not tuneable. Faulty internal battery. Not easily fixable, probably PSU fault.",Repairable,,"We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
Lamp,Lamp,"John Lewis",,"Switch is broken. Needs new switch. Client will try to get.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
"clothes steamer","Power tool",Fridya,,"Trips the fuse in my house. Earth leakage at element causing RCD to trip. Client to see if spare available.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
"Radio and 8 track","Hi-Fi separates",,,"8 track not working. Drive belt missing. Spares and repair instructions available online.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
Lamp,Lamp,BTC,Hector,"Doesn't work. Possibly connection in bulb holder. Needs new on/off rocker switch. User will replace.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
"Kitchen mixer","Small kitchen item",Kenwood,Chef,"Attachment is stuck. Taken apart to access the mechanism that was jammed. Attachment released and then put back together. PAT tested passed.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,2.95,15.45,Powered
"Coffee machine","Coffee maker",Nespresso,,"Not working. Taken to pieces and decided that heater needs descaling. Reassembled. Recommended try a cycle of descaling tab Nespresso machine.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,1.28,8.75,Powered
"Remote control","TV and gaming-related accessories",,,"Not working. Taken to pieces and it MAY work now? No way of testing.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,1.99,25.665,Powered
Lamp,Lamp,"Purves & Purves",,"Light bulb keeps blowing out and fuses keep blowing on replacement. Fixed! Not sure what the problem was.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,2.68,7.48,Powered
"Bluetooth speaker","Handheld entertainment device",,,"Charging port is missing. Advised to either buy replacement or try USB charger.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
Laptop,"Laptop medium",Lenovo,,"Broken socket. RAM memory chip missing. Visitor ordering replacement. (Lenovo LV110-15)",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
Toaster,Toaster,"S Q Professional",,"Spring doesn't ""stick"" any more. Fixed.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,1.47,4.065,Powered
"Mobile phone",Mobile,Samsung,"C20 S10E","Back is cracked. Can be replaced. Visitor directed towards replacement parts website.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
Camcorder,"DSLR/video camera",Sony,"Handy Cam MNS CM1","It was dropped. Memory card might be corrupted. Removed the card and worked OK with internal memory.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,0.59,8.015,Powered
"Lamp Base",Lamp,,,"Needs rewiring. Disassembled light socket and switch assembly and cleaned. Client can now finish the restoration.",Repairable,,"We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
Laptop,"Laptop medium",HP,Pavillion,"Won't switch on. The data board has been removed. If can't be repaired want to salvage data to external drive. Checked charger OK 19.750 Voltage is present to circuit. No voltage on battery. History of battery alerts. Data should be recoverable from SSD but we don't have a receiver.",Repairable,,"We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
"Vacuum Cleaner",Vacuum,Hoover,,"Not working. Filter needed cleaning properly. Suck restored.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,6.8,18.005,Powered
"Sewing machine","Sewing machine",,,"Needle jumping out/ foot loose. Bobbin thread was tangled, untangled it. Bobbin thread was not going in through the right places, also was not inserted in the right direction (should rotate clockwise but was rotating counter-clockwise) Cloth was becoming wrinkled (was moving faster than the stitches) Solved it by adjusting the tension on the tension setting wheel.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,8.6,17.5,Powered
"Sewing machine","Sewing machine",Brother,,"Not working. Issue was it was moving too slowly. Changed speed setting and it was fixed.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,8.6,17.5,Powered
Iron,Iron,Beldray,BEL0820,"Does not turn the heat down. It is okay, you just need to adjust temperature using the dial. There is no button to turn it off, you need to unplug it.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,1.17,5.5,Powered
"Clock radio CD","Hi-Fi separates",Mikomi,,"CD player dodgy. Probably laser - not worth repair. Second hand on eBay £25",End-of-life,,"We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
Printer,Printer/scanner,Canon,,"Doesn't bring inkwell to centre and makes a loud noise. I think a part has broken off and is inside. Repair not cost effective. Probably 2 hours work?",End-of-life,,"We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
"Vacuum cleaner",Vacuum,Hoover,,"Cable issue. Joined cable internally (removed defective part. Strain relief re-attached. Sugru reinforcement to slight damage on strain relief. PAT tested OK (Class II)",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,6.8,18.005,Powered
Laptop,"Laptop medium",Apple,,"Keyboard is stuck. Some keys not responding. Tried switch cleaner. Not working. Could replace keyboard, probably not worth it.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
"Battery clock",Watch/clock,,,"Minute hand loose. Pressed hand back on spline. Soldered wire back on on/off switch.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,1.3,14.145,Powered
"Bladeless fan",Fan,,,"Whirrs and stops.",Repairable,,"We Are 336","Repair Café Lambeth",2023-11-04,0,0,Powered
"Bluetooth headphones",Headphones,,,"Not working.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,0.4,1.5,Powered
"Bluetooth headphones",Headphones,,,"Not working.",Fixed,,"We Are 336","Repair Café Lambeth",2023-11-04,0.4,1.5,Powered
Bag,Clothing/textile,,,"Seam stitched",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.75,10.16,Unpowered
Sandal,Clothing/textile,,,"Strap repaired",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.75,10.16,Unpowered
Bag,Clothing/textile,,,Patched,Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.75,10.16,Unpowered
Coat,Clothing/textile,,,"Little hole on a pocket. 2 long rips on sleeves.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.75,10.16,Unpowered
"Shopping trolley",Misc,,,"Wheel came off. Refitted",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Unpowered
dress,Clothing/textile,,,"Too small. Seams expanded.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.75,10.16,Unpowered
jumpsuit,Clothing/textile,,,"Legs need  hemming",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.75,10.16,Unpowered
Coat,Clothing/textile,,,"Hooks and eyes replaced",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.75,10.16,Unpowered
dress,Clothing/textile,,,"Gaping at bust. Fastening added.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.75,10.16,Unpowered
Jumper,Clothing/textile,,,"Knitting unraveling. Darned loose thread.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.75,10.16,Unpowered
Stereo,"Hi-Fi integrated",,,"DVD not playing. Laser lens cleaned - now plays OK!",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,8.95,93.25,Powered
iPad,Tablet,Apple,,"Doesn't switch on. Completely dead iPad. Tried fixes on Apple website but no good. Suggested trying a different charger. May need a new battery from Apple.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
Laptop,"Laptop medium",Dell,,"Hinge loose. Loosened hinge slightly and clicked back into position. Now OK.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,1.83,132.66,Powered
Laptop,"Laptop medium",Asus,,"Stopped working. Had to press Crtl-Alt_Del to get into windows. Now boots to Windows OK.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,1.83,132.66,Powered
vacuum,Vacuum,Numatic,"VNR 200-21","Not working. I believe it to be the on/off switch/PCB. Have changed fuse - that's OK - also wire/cable seem OK, doubt it is motor. 
Copper contact tab broken - riveted on, can't change.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Electric screwdriver","Power tool",,,"Not powering on. Charger identified. Needs charging.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,1.65,13.325,Powered
toaster,Toaster,Tefal,,"Toast 'latch' doesn't catch. Tried latch and seems to be working when plugged in, but heating elements don't work. Took casing off to see inside but no obvious signs of disconnected electricals.",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Espresso coffee machine","Coffee maker",Breville,BES860,"The machine and the pump turns on by itself when plugged to power and the pump never stops going. Looked at circuit board which had been also investigated but couldn't go further than Andrea! Good luck!",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Computer monitor","Flat screen 22-24""",,,"Does not turn on.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Handheld vacuum",Vacuum,Silvercrest,,"Motor not working. Turns on but not doing anything. Issue in motherboard, in the power mosfet. Impossible to get replacement.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
Laptop,"Laptop medium",Toshiba,,"Suggested to buy new SSD drive and RAM. Error was about RTC battery. Opened and it just didn't have one. It's OK to just use main battery.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Milk frother","Small kitchen item",Swan,,"Not working at all - just stopped! Replaced fuse.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,2.95,15.45,Powered
Laptop,"Laptop medium",HP,,"Slow, very slow - everything. Charger pin straightened out, Windows update applied, Factory reset attempted.",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
Kettle,Kettle,Dualit,UKT33a,"Trips electrics. Took it apart, no fault identified, could not reassemble.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Desk fan",Fan,Status,,"Sounds like a constipated chicken. Took the fan apart, cleaned it, put it back together.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,3.9,7.8,Powered
Amplifier,"Hi-Fi separates",Radiola,,"Power OK, test components for safety. Components OK, need to test further.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,8.72,61.93,Powered
Kettle,Kettle,,,"Power does not turn on. I tried replacing the fuse twice but it wouldn't work. Fitted 13A fuse & tested base - OK for power but still not working. Likely element has ""blown"".",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
Blender,"Small kitchen item","Russell Hobbs",,"Stopped working mid-use. Can't open, needs special tool. Will try and find it on the 'net. Advised to email and book next session.",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Electric fan heater",Misc,,,"Stopped working. Can't open - checked fuses. Advised to take to recycling.",End-of-life,"No spare parts required","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Electric fan heater",Misc,,,"Stopped working. Can't open - checked fuses. Advised to take to recycling.",End-of-life,"No spare parts required","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Electric fan heater",Misc,,,"Stopped working. Can't open - checked fuses. Advised to take to recycling.",End-of-life,"No spare parts required","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
Laptop,"Laptop medium",Dell,"Lattitude 7400 2-in-1","I bought the laptop at auction, I need a laptop charger and would like advice about where to buy either a 2nd hand genuine OEM charger or else a new charger at reasonable cost.
Advised, links sent.",Fixed,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-12-02,1.83,132.66,Powered
Radio,"Portable radio",,,"Not working. Blue Radio needed scanning also needs a IEC C7 cable. 9v 1A power supply.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,2.06,27.325,Powered
"Midi keyboard","Musical instrument",Rockjam,RJ761,"Some keys not working. Opened up keyboard. Probably poor connector on printed circuit and keyboard switches.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Electric blanket",Misc,Cosihome,,"Stopped working recently. Found a broken LED. Needs replacing (240v Power. LED Red.)",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Solar lighting","Decorative or safety lights",,,"Not working.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Hand mixer","Small kitchen item","George Home",,"Doesn't turn on. Checked fuse - OK. Attempted to pen and get inside but not able to even with screws removed. Unable to fix.",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
Laptop,Printer/scanner,,,"Monitor (screen) not working after professional repair on high street. Opened up - RAM missing so we fitted new. Screen had not been plugged in, so plugged in. Now works.",Fixed,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-12-02,12.47,50.345,Powered
Tablet,Tablet,,,"Wrong charger for port.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Sewing machine","Decorative or safety lights",,,"Tension problem! Ran out of time.",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Small torch","Decorative or safety lights",,,"It doesn't switch on. Tested batteries - OK. Loose connection fitting and tin foil holding battery in place. Fiddled this and replaced all pieces back together - worked!",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.46,7.36,Powered
Television,"Flat screen 32-37""",Samsung,,"Doesn't power up. External power brick end of life. Tested TV with alt. adapter and works fine. Owner will buy replacement power adapter.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Christmas lamp",Lamp,,,"Light doesn't work anymore. New bulb needed - MR-11 (12v, 10w)",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
Blender,"Small kitchen item",Nutribullet,,"It does not start when you ""twist"" the container to try and operate it. Locking tab on jug part broken which means safety interlock prevents unit from operating. Needs new cup part. Spares easily available on eBay etc.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"Glass tree","Decorative or safety lights",,,"Not lighting up. Checked connections to see if the lights would turn on but some of the connections dodgy and because it was a PCB, I couldn't tell.",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
"DAB Radio","Portable radio",Roberts,,"Not switching on. Power cable/adapter dead. Needs replacement: center positive, inside diameter 2.1mm, outside 4.4mm, 7.5v. Different power cable turned it on.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,2.06,27.325,Powered
Printer,Printer/scanner,Brother,"DCP 197C","Unable to print. Investigating internet.",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
Laptop,"Laptop medium",HP,Stream,"Tried to clean/reinstall Windows and now does not reboot. Also I can something rattling inside the laptop. Can't re-boot but will continue to try.",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Powered
Gloves,Clothing/textile,,,"Stitching coming undone, holes in ends of fingers. Repaired all the holes and loose threads/sections.",Fixed,,"We Are 336","Repair Café Lambeth",2023-12-02,0.75,10.16,Unpowered
"Small box of drawers",Furniture,,,"Needs to be re-covered. Old veneer to be removed, traditional glue was used, new respectable covering desired, possibly sticky-back plastic, however there may be something more suitable. Not attempted yet. Most of surface easily removed already, loathe to work too hard on remainder as don't want to damage the soft wood. The back is hardboard. The drawers are sort of fibre board.",Repairable,,"We Are 336","Repair Café Lambeth",2023-12-02,0,0,Unpowered
Cape,Clothing/textile,,,"Needs sewing under the arms to stay on me",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
necklace,Jewellery,,,"Broken chain",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,000.300,2.6552205885,Unpowered
Trousers,Clothing/textile,,,"Alteration. Legs shortened.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
Trousers,Clothing/textile,,,"Alteration. Legs shortened.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
Trousers,Clothing/textile,,,"Alteration. Legs shortened.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
Trousers,Clothing/textile,,,"Alteration. Too narrow at the waist, made bigger with a patch by machine + buttons stitched",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
Trousers,Clothing/textile,,,"Button sewn back on",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
Bike,Bicycle,Trek,,"Brakes slightly deficient. Checked. Well adjusted but wheel rims contaminated. Cleaned and re-checked.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,012.000,106.20882354,Unpowered
rucksack,Clothing/textile,,,"Zip not working",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2024-01-06,0,0,Unpowered
Purse,Clothing/textile,,,"Clasp coming off",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
Coat,Clothing/textile,"Simon Howard",,"Rip in lining + external fabric on right shoulder.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,002.000,17.70147059,Unpowered
Bike,Bicycle,Carrera,,"Gears checked & OK, bottom bracket has no obvious resistance. Both discs warped & need replacing, brakes adjusted as far as possible given disc warp.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2024-01-06,0,0,Unpowered
Jacket,Clothing/textile,,,"Zip is very stiff. Found the knack for closing it. No repair needed but its looking a bit worn - advised that it may need to be replaced in the future",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
Cardigan,Clothing/textile,,,"Fastenings added to close garment.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
dress,Clothing/textile,,,"Dress needs hooks and eyes put on it.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
Backpack,Clothing/textile,,,"Right strap of backpack has unraveled/disconnected from bag. We used super glue + stitching to fix the trap to a new point on the bag. Fixed by hand with a a triangular leather needle.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
Coat,Clothing/textile,,,"Seam ripped on shoulder.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.75,10.16,Unpowered
"Small box of drawers",Furniture,,,"Needs recovering.",Repairable,,"We Are 336","Repair Café Lambeth",2024-01-06,0,0,Unpowered
"Hand blender","Small kitchen item",Sage,,"Possible burnt fuse. Can't undo to verify. TBD. Modern design.",Repairable,,"We Are 336","Repair Café Lambeth",2024-01-06,0,0,Powered
"Portable retro turntable","Hi-Fi integrated",Groove,"Classic Phono","Not playing records. LP player plastic broken. Fixed with glue.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,8.95,93.25,Powered
Kettle,Kettle,Breville,,"Broken switch. Contacts cleaned. Made new activator out of stiff wire, operation much better but still intermittent.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,1.25,22.16,Powered
Laptop,"Laptop medium",HP,,"Powers up but no boot up. Fixed, boots up again as RAM was unseated. Windows 10 reinstall recommended.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,1.83,132.66,Powered
"Vacuum cleaner",Vacuum,Joey,,"Not working. Light turns on/off straight away. We checked the continuity of the vacuum attachment and the voltage of the charger. We then removed the outer casing and connected it and it started smoking.",End-of-life,,"We Are 336","Repair Café Lambeth",2024-01-06,0,0,Powered
"Table lamp",Lamp,,,"The switch on/off needs rewiring. We checked the continuity of all parts in the switch and tested the fuse. We also checked between the plug and the part where the bulb connects and everything worked fine. Conclusion was the bulb was broken. Everything else was tested.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,2.68,7.48,Powered
Radio,"Portable radio",Roberts,"Classic 996","Doesn't work at all. Checked power supply, seems OK.",Repairable,,"We Are 336","Repair Café Lambeth",2024-01-06,0,0,Powered
"Games controller","Handheld entertainment device",Nintendo,Switch,"The joycon broke.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,0.14,11.355,Powered
Laptop,"Laptop medium",Acer,Aspire,"The hinges came off from one side of the brackets. Will ask Currys for repair - 2 years old. If not will sue small claims court consumer credit act 2015.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2024-01-06,0,0,Powered
"cordless vacuum",Vacuum,Dyson,"V11 Animal","Does not switch on properly. Investigation revealed probable faulty battery pack. This is a non-serviceable unit, but is available as spare part and easy for owner to change themselves.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2024-01-06,0,0,Powered
"Electric clock",Watch/clock,,,"Time display keeps flashing. Idea is to remain static whilst in working mode. Display no longer flashing. Re glued internal contact backers. Made makeshift button for missing button.",Fixed,,"We Are 336","Repair Café Lambeth",2024-01-06,1.3,14.145,Powered
Hi-fi,"Hi-Fi integrated",JVC,,"CD not working. Tried fixing CD player. Not enough power to motor. Motor too expensive to repair.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2024-01-06,0,0,Powered
